case_id,category,file,sheet,row_start,row_end,name,type,description,institution,place,time_frame,participants,evaluator_role,data_type,data_source,complexity,year,citation
C01,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,2,5,"[{""value"": ""1. Beta_Space: Living laboratory for creative evaluation"", ""cell"": ""A2""}]","[{""value"": ""Experiment"", ""cell"": ""B2""}]","[{""value"": ""An experimental hybrid between a gallery and a living lab, located at the Powerhouse Museum. Beta_Space was designed to evaluate how the public interacts with interactive artworks in real-world settings. It enabled observation, documentation, and analysis of different levels of creative engagement using situated and reflective methods.\n"", ""cell"": ""C2""}]","[{""value"": ""Creativity and Cognition Studios.\nUniversity of Technology, Sydney"", ""cell"": ""D2""}]","[{""value"": ""Powerhouse Museum.\nSydney, Australia"", ""cell"": ""E2""}]","[{""value"": ""Multi-year (ongoing public installations)"", ""cell"": ""J2""}]","[{""value"": ""Museum visitors, general public"", ""cell"": ""K2""}]","[{""value"": ""Observers, facilitators, reflective practitioners"", ""cell"": ""L2""}]","[{""value"": ""Qualitative "", ""cell"": ""M2""}]","[{""value"": ""observational data"", ""cell"": ""N2""}, {""value"": ""interview transcripts"", ""cell"": ""N3""}, {""value"": ""behavioral tracking"", ""cell"": ""N4""}]","[{""value"": ""High – real-world interaction, multiple user profiles, dynamic systems"", ""cell"": ""O2""}]","[{""value"": ""2007–2011"", ""cell"": ""P2""}]","[{""value"": ""Candy, L. (2012). Evaluating Creativity, in Carroll, J. M. (Ed.), Creativity and Rationale, Springer, pp. 57–84."", ""cell"": ""Q2""}]"
C02,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,6,8,"[{""value"": ""2. COSTART Project (Art-Tech collaborations)"", ""cell"": ""A6""}]","[{""value"": ""Experiment / Collaboration study"", ""cell"": ""B6""}]","[{""value"": ""A collaboration initiative between artists and technologists aimed at understanding interdisciplinary creative processes. The project focused on evaluating the quality of collaboration, communication styles, and openness to iteration through participant observation and qualitative analysis.\n"", ""cell"": ""C6""}]","[{""value"": ""Creativity and Cognition Studios. \nUniversity of Technology, Sydney"", ""cell"": ""D6""}]","[{""value"": ""Art-tech residencies (university and lab settings).\nSydney, Australia"", ""cell"": ""E6""}]","[{""value"": ""Project-based (multiple residencies)"", ""cell"": ""J6""}]","[{""value"": ""Artists, technologists, creative collaborators"", ""cell"": ""K6""}]","[{""value"": "" Embedded researchers, communication analysts"", ""cell"": ""L6""}]","[{""value"": ""Qualitative"", ""cell"": ""M6""}]","[{""value"": ""communication records"", ""cell"": ""N6""}, {""value"": ""interviews"", ""cell"": ""N7""}, {""value"": ""field notes"", ""cell"": ""N8""}]","[{""value"": ""Medium – small creative teams, collaborative environments"", ""cell"": ""O6""}]","[{""value"": ""2002–2006"", ""cell"": ""P6""}]","[{""value"": ""Candy, L. (2012). Evaluating Creativity, in Carroll, J. M. (Ed.), Creativity and Rationale, Springer, pp. 57–84."", ""cell"": ""Q6""}]"
C03,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,9,11,"[{""value"": ""3. Bilda’s interactive art evaluations"", ""cell"": ""A9""}]","[{""value"": ""Experiment / Multi-case study"", ""cell"": ""B9""}]","[{""value"": ""A systematic study of ten interactive art systems, evaluating user engagement through observation and interviews. This work led to the development of the Creative Engagement Model, which identifies three levels of interaction: immediate, sustained, and creative engagement.\n"", ""cell"": ""C9""}]","[{""value"": ""Creativity and Cognition Studios. \nUniversity of Technology, Sydney"", ""cell"": ""D9""}]","[{""value"": ""University-based experimental setups with public.\nSydney, Australia"", ""cell"": ""E9""}]","[{""value"": ""2-year period"", ""cell"": ""J9""}]","[{""value"": ""General public, invited participants"", ""cell"": ""K9""}]","[{""value"": ""Researchers as observers and analysts"", ""cell"": ""L9""}]","[{""value"": ""Qualitative "", ""cell"": ""M9""}]","[{""value"": ""observation notes"", ""cell"": ""N9""}, {""value"": ""coded behaviors"", ""cell"": ""N10""}, {""value"": ""interviews"", ""cell"": ""N11""}]","[{""value"": ""High – ten systems, large user base"", ""cell"": ""O9""}]","[{""value"": ""2006–2008"", ""cell"": ""P9""}]","[{""value"": ""Candy, L. (2012). Evaluating Creativity, in Carroll, J. M. (Ed.), Creativity and Rationale, Springer, pp. 57–84."", ""cell"": ""Q9""}]"
C04,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,12,13,"[{""value"": ""4. Costello’s playful art systems"", ""cell"": ""A12""}]","[{""value"": ""Tool / Framework development"", ""cell"": ""B12""}]","[{""value"": ""Research on interactive art systems designed to evoke playfulness and emotional response. The project applied the Pleasure Framework to both design and evaluate aesthetic experiences, focusing on fantasy, discovery, subversion, and user delight.\n"", ""cell"": ""C12""}]","[{""value"": ""Creativity and Cognition Studios. \nUniversity of Technology, Sydney"", ""cell"": ""D12""}]","[{""value"": ""Studio settings and public engagement spaces"", ""cell"": ""E12""}]","[{""value"": ""Project-based (artwork development cycle)\n"", ""cell"": ""J12""}]","[{""value"": ""Interactive art audiences"", ""cell"": ""K12""}]","[{""value"": ""Artist-researcher as both designer and evaluator"", ""cell"": ""L12""}]","[{""value"": ""Qualitative "", ""cell"": ""M12""}]","[{""value"": ""participant feedback"", ""cell"": ""N12""}, {""value"": ""experiential descriptions"", ""cell"": ""N13""}]","[{""value"": ""Medium – focused on interaction qualities"", ""cell"": ""O12""}]","[{""value"": ""2007–2011"", ""cell"": ""P12""}]","[{""value"": ""Candy, L. (2012). Evaluating Creativity, in Carroll, J. M. (Ed.), Creativity and Rationale, Springer, pp. 57–84."", ""cell"": ""Q12""}]"
C05,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,14,18,"[{""value"": ""5. Creative evaluation"", ""cell"": ""A14""}]","[{""value"": ""Experiment / Method"", ""cell"": ""B14""}]","[{""value"": ""A three-session evaluation format designed to explore aesthetic experiences with interactive sound installations. Ten participants from artistic and design-related disciplines engaged with two sound installations (Random Access Lattice and Paris Flâneur) through a structured process involving free exploration, directed video creation, and the production of an individual artistic work. Each participant also wrote a short reflection. The method aimed to investigate whether artistic expression can serve as a form of evaluation in aesthetic contexts."", ""cell"": ""C14""}]","[{""value"": ""Graz University of Technology & University of Music and Performing Arts Graz.\nAustria\n"", ""cell"": ""D14""}]","[{""value"": ""Art and design research context, interactive sound installations (Random Access Lattice and Paris Flâneur)"", ""cell"": ""E14""}]","[{""value"": ""Three sessions engagement per participant (across two installation types)"", ""cell"": ""J14""}]","[{""value"": ""10 artists and post-graduate students in design, dance, music, music aesthetics, and computer music (5 men, 5 women)"", ""cell"": ""K14""}]","[{""value"": ""Designers of the evaluation protocol, observers of the process, curators of the final exhibition"", ""cell"": ""L14""}]","[{""value"": ""Qualitative "", ""cell"": ""M14""}]","[{""value"": ""artistic outputs (videos, artworks)"", ""cell"": ""N14""}, {""value"": ""written reflections"", ""cell"": ""N15""}, {""value"": ""live observation"", ""cell"": ""N16""}]","[{""value"": ""Medium to high – rich, interpretive outputs requiring situated analysis"", ""cell"": ""O14""}]","[{""value"": 2017, ""cell"": ""P14""}]","[{""value"": ""Marentakis, G., Pirrò, D., & Weger, M. (2017). Creative Evaluation. In Proceedings of DIS 2017, Edinburgh, UK.\n"", ""cell"": ""Q14""}]"
C06,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,19,22,"[{""value"": ""6. The influencing machine"", ""cell"": ""A19""}]","[{""value"": ""Interactive art installation /  Experiment"", ""cell"": ""B19""}]","[{""value"": ""An interactive art installation developed to explore emotional expression through bodily movement and visual feedback. Conducted in a staged non-laboratory setting, the study engaged 33 participants in small groups using a modified co-discovery method, followed by open-ended interviews. The evaluation sought to balance artistic ambiguity with HCI research, enabling participants to interpret and reflect on the installation without predefined goals. The study informed design revisions and contributed to discussions on how interactive art can be meaningfully evaluated.\n"", ""cell"": ""C19""}]","[{""value"": ""Swedish Institute of Computer Science (SICS) & Cornell University"", ""cell"": ""D19""}]","[{""value"": ""Laboratory environment staged in an old house (non-laboratory feel)"", ""cell"": ""E19""}]","[{""value"": ""Two user studies, each consisting of multiple small-group sessions (Study 1:12 users; Study 2:21 users)"", ""cell"": ""J19""}]","[{""value"": ""33 Swedish participants, aged 19–70, mixed gender, with varied exposure to art and technology\n"", ""cell"": ""K19""}]","[{""value"": ""Observers and designers, adapting lab evaluation for interpretive understanding; interpreters of user theories and reactions"", ""cell"": ""L19""}]","[{""value"": ""Qualitative "", ""cell"": ""M19""}]","[{""value"": ""group conversations"", ""cell"": ""N19""}, {""value"": ""user quotes"", ""cell"": ""N20""}, {""value"": ""behaviors during interaction"", ""cell"": ""N21""}, {""value"": ""interviews"", ""cell"": ""N22""}]","[{""value"": ""Mid – interpretive data, diverse reactions, subjective and culturally mediated insights"", ""cell"": ""O19""}]","[{""value"": 2003, ""cell"": ""P19""}]","[{""value"": ""Höök, K., Sengers, P., & Andersson, G. (2003). Sense and Sensibility: Evaluation and Interactive Art. CHI '03 Proceedings."", ""cell"": ""Q19""}]"
C07,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,23,25,"[{""value"": ""7. Talk2Me"", ""cell"": ""A23""}]","[{""value"": ""Exhibition/Interactive Art Evaluation"", ""cell"": ""B23""}]","[{""value"": ""An interactive art evaluation conducted at the ReActive exhibition in Brisbane (2006), where visitors engaged with the installation Talk2Me, created by the lead author. Participants were observed using shadowing and completed written questionnaires. Informal discussions also took place. The evaluation aimed to capture experiential, ludic, and interpretive engagement from a diverse local audience, with the artist acting as an embedded observer.\n"", ""cell"": ""C23""}]","[{""value"": ""Australasian CRC for Interaction Design, Creativity and Cognition Studios, University of Technology Sydney, Simon Fraser University"", ""cell"": ""D23""}]","[{""value"": ""Talk2Me: ReActive exhibition at The Block, Brisbane"", ""cell"": ""E23""}]","[{""value"": ""February 2006"", ""cell"": ""J23""}]","[{""value"": ""General public and creative professionals from the local community"", ""cell"": ""K23""}]","[{""value"": ""Artist (creator of the installation), situated observer, data collector"", ""cell"": ""L23""}]","[{""value"": ""Qualitative "", ""cell"": ""M23""}]","[{""value"": ""field notes"", ""cell"": ""N23""}, {""value"": ""conversations"", ""cell"": ""N24""}, {""value"": ""written responses"", ""cell"": ""N25""}]","[{""value"": ""Medium – single work, diverse public audience, embedded researcher"", ""cell"": ""O23""}]","[{""value"": ""2006 (study)"", ""cell"": ""P23""}]","[{""value"": ""Morrison, A., Loke, L., & Schiphorst, T. (2007). The Lens of Ludic Engagement. ACM Multimedia '07\n"", ""cell"": ""Q23""}]"
C08,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,26,29,"[{""value"": ""8. ACM Multimedia Interactive Arts Program"", ""cell"": ""A26""}]","[{""value"": ""Exhibition / Expert audience evaluation"", ""cell"": ""B26""}]","[{""value"": ""An evaluation study conducted during the ACM Multimedia Interactive Arts Program (Santa Barbara, 2006), observing how expert participants engaged with various interactive artworks. The evaluation included shadowing, questionnaires, and informal discussions. The authors used grounded theory to analyze the depth and quality of engagement, comparing it with data from a general audience in a separate exhibition. The study highlights how professional background influences interpretation and depth of ludic engagement.\n"", ""cell"": ""C26""}]","[{""value"": ""Australasian CRC for Interaction Design, Creativity and Cognition Studios, University of Technology Sydney, Simon Fraser University"", ""cell"": ""D26""}]","[{""value"": ""ACM Multimedia Interactive Arts Program, Santa Barbara, USA"", ""cell"": ""E26""}]","[{""value"": ""November 2006"", ""cell"": ""J26""}]","[{""value"": ""Experts and professionals in art, design, multimedia, and interaction"", ""cell"": ""K26""}]","[{""value"": ""External observer, data collector, comparative analyst"", ""cell"": ""L26""}]","[{""value"": ""Qualitative "", ""cell"": ""M26""}]","[{""value"": ""questionnaires"", ""cell"": ""N26""}, {""value"": ""observation notes"", ""cell"": ""N27""}, {""value"": ""interview content"", ""cell"": ""N28""}]","[{""value"": ""Mid – multiple artworks, expert participants, cross-case comparison"", ""cell"": ""O26""}]","[{""value"": ""2006 (study)"", ""cell"": ""P26""}]","[{""value"": ""Morrison, A., Loke, L., & Schiphorst, T. (2007). The Lens of Ludic Engagement. ACM Multimedia '07"", ""cell"": ""Q26""}]"
C09,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,30,34,"[{""value"": ""9. MANIFESTO – Revelations of an Artist"", ""cell"": ""A30""}]","[{""value"": ""Participatory Creative Project / Installation + Performance"", ""cell"": ""B30""}]","[{""value"": ""MANIFESTO – Revelations of an Artist was a participatory creative project developed by Milk Crate Theatre’s Waterloo Creative Ensemble over 16 weeks. Through a series of workshops and co-creation sessions, Collaborative Artists produced a multi-sensory installation combining sculpture, sound, text, and live performance. The project allowed marginalized artists to express their lived experiences and personal identities, culminating in a public exhibition that invited audiences into their creative worlds. The evaluation emphasized the experiential impact of both the creative process and public engagement.\n"", ""cell"": ""C30""}]","[{""value"": ""Milk Crate Theatre"", ""cell"": ""D30""}]","[{""value"": ""Waterloo, Australia – developed with the Waterloo Creative Ensemble"", ""cell"": ""E30""}]","[{""value"": ""16 weeks of development (leading to November 2023)"", ""cell"": ""J30""}]","[{""value"": "" Collaborative Artists (artists with lived experience of homelessness, mental health challenges, or social marginalization)"", ""cell"": ""K30""}]","[{""value"": ""Facilitators and co-creators; supported the creative process without imposing external frameworks"", ""cell"": ""L30""}]","[{""value"": ""Qualitative "", ""cell"": ""M30""}]","[{""value"": ""artistic outputs (objects, texts, sounds, performances)"", ""cell"": ""N30""}, {""value"": ""participant feedback"", ""cell"": ""N31""}, {""value"": ""audience reactions"", ""cell"": ""N32""}]","[{""value"": ""High – multi-sensory, interdisciplinary, deeply personal content"", ""cell"": ""O30""}]","[{""value"": 2023, ""cell"": ""P30""}]","[{""value"": ""Milk Crate Theatre 2023 Annual Impact Report\nWainwright, J. (2023). Milk Crate Theatre 2023 Annual Impact Report. https://www.milkcratetheatre.com/single-post/2023-annual-impact-report"", ""cell"": ""Q30""}]"
C10,Creative evaluation,Creative evaluation cases.xlsx,Creative Evaluation cases,35,38,"[{""value"": ""10. ALLEGORY Creative Workshops for People Living with Disability"", ""cell"": ""A35""}]","[{""value"": ""Workshop Series / Artistic Capacity Building"", ""cell"": ""B35""}]","[{""value"": ""ALLEGORY was a series of participatory creative workshops facilitated by Milk Crate Theatre to engage people living with disability in artistic self-expression. Held at Parramatta Artists’ Studios and Milk Crate spaces, the program involved creative writing, visual arts, movement, and performance exercises. Participants developed individual and collective artworks, while the process fostered personal empowerment, creative skill-building, and peer support. The evaluation emphasized participants’ reflective feedback on their creative growth and sense of inclusion.\n"", ""cell"": ""C35""}]","[{""value"": ""Milk Crate Theatre"", ""cell"": ""D35""}]","[{""value"": ""Parramatta Artists’ Studios and Milk Crate Theatre spaces, Australia"", ""cell"": ""E35""}]","[{""value"": ""Conducted during 2023 (specific months not detailed)"", ""cell"": ""J35""}]","[{""value"": ""Artists living with disability (community members engaged through Milk Crate Theatre’s access programs)"", ""cell"": ""K35""}]","[{""value"": ""Facilitators and co-creators; guided creative processes, provided supportive environments for self-expression\n"", ""cell"": ""L35""}]","[{""value"": ""Qualitative"", ""cell"": ""M35""}]","[{""value"": ""creative outputs (texts, artworks, performances)"", ""cell"": ""N35""}, {""value"": ""participant reflections"", ""cell"": ""N36""}, {""value"": ""facilitator observations"", ""cell"": ""N37""}]","[{""value"": ""Medium to High – varied participant needs, inclusive creative processes across media"", ""cell"": ""O35""}]","[{""value"": 2023, ""cell"": ""P35""}]","[{""value"": ""Milk Crate Theatre 2023 Annual Impact Report\nWainwright, J. (2023). Milk Crate Theatre 2023 Annual Impact Report. https://www.milkcratetheatre.com/single-post/2023-annual-impact-report"", ""cell"": ""Q35""}]"
