stage_id,case_id,ordinal,row,stage,aim,methods,practices,stage_cell,aim_cell,methods_cell,practices_cell
C01-S01,C01,1,2,Framing & Planning,Set up a hybrid environment (exhibition + lab) for evaluating public interaction with interactive art systems.	,Living lab setup; interdisciplinary team; curated public participation	,"Design probes, exhibition as prototype",F2,G2,H2,I2
C01-S02,C01,2,3,Data Collection & Observation,Observed real-time engagement of visitors with interactive systems; collected feedback via contextual interviews and expert-led workshops.	,"Direct/lateral observation, contextual inquiries, expert workshops	","Observation, cultural probes, sensitizing tools",F3,G3,H3,I3
C01-S03,C01,3,4,Analysis & Interpretation,Identified modes of interaction and behavioral transformation through repeated engagement. Tracked changes in perception and experience.	,Creative Engagement Model; behavioral and conceptual change tracking	,"Journey mapping, user scenario analysis",F4,G4,H4,I4
C01-S04,C01,4,5,Output & Learning,Developed a set of design principles for interaction design to enhance creative engagement; demonstrated how museum settings can act as reflective spaces for evaluation.	,"Reflection-in-action documentation; criteria for “immediate, sustained, and creative” engagement	","Prototype for public feedback, iteration based on field insights",F5,G5,H5,I5
C02-S01,C02,1,6,Framing,Framed co-creation process between artists and technologists,"Team setup discussions, common goal alignment","Co-briefing, interdisciplinary framing",F6,G6,H6,I6
C02-S02,C02,2,7,Team Evaluation,"Assessed collaboration quality, communication styles, openness to iteration","Observation, communication analysis, interviews	","Team mapping, reflexive sessions",F7,G7,H7,I7
C02-S03,C02,3,8,Output & Learning	,Generated criteria for successful creative collaboration and mutual flexibility	,"Process documentation, outcome narratives	","Experience mapping, co-design evaluation",F8,G8,H8,I8
C03-S01,C03,1,9,Data Collection	,Participants interacted with ten different interactive systems under observation,"Structured observation, semi-structured interviews	","User journey documentation, affective tracking",F9,G9,H9,I9
C03-S02,C03,2,10,Analysis,Defined levels of engagement based on user responses and behavior over time	,"Engagement analysis coding, pattern recognition	","Affinity mapping, behavioral mapping",F10,G10,H10,I10
C03-S03,C03,3,11,Output & Learning	,Formulated the Creative Engagement Model as a generalizable evaluation framework	,Synthesis of observational and interview data	,"Framework development, model building",F11,G11,H11,I11
C04-S01,C04,1,12,Framing,Conceptualized play as a central quality to evaluate user experience in interaction	,Framework conceptualization (Pleasure framework)	,"Design for play, emotional design",F12,G12,H12,I12
C04-S02,C04,2,13,Output & Learning	,Evaluated aesthetic and affective experiences through participant feedback and reflections	,"Reflection-in-action, open-ended feedback collection	","Storytelling, narrative prototyping",F13,G13,H13,I13
C05-S01,C05,1,14,Framing,Participants were introduced to the installation and briefed on the idea of evaluating it through artistic practice.	,Verbal introduction to the installation; context for the evaluation approach	,"Contextual briefing, reframing evaluation as creation",F14,G14,H14,I14
C05-S02,C05,2,15,Session 1 – Exploration,Participants explored the installation freely and reflected individually on their experience.	,First 15-minute session: interaction with installation without instructions	,"Cultural probes, open exploration",F15,G15,H15,I15
C05-S03,C05,3,16,Session 2 – Video	,Participants directed and recorded a video of themselves interacting with the installation to express its essence.	,15-minute session with camera and editing tools provided	,"Performed storytelling, experiential recording",F16,G16,H16,I16
C05-S04,C05,4,17,Session 3 – Artistic Work	,"Participants created an individual artwork in any medium (text, drawing, sound, movement, etc.) to express their experience.	",Artistic materials provided; free medium choice; recorded with one static camera	,"Narrative prototyping, expressive sketching",F17,G17,H17,I17
