case_id,dimension,term_id,term,source_cell,raw_value,rule
C01,practices,practices:design probes,Design probes,I2,"Design probes, exhibition as prototype",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,practices,practices:exhibition as prototype,exhibition as prototype,I2,"Design probes, exhibition as prototype",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,practices,practices:observation,Observation,I3,"Observation, cultural probes, sensitizing tools",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,practices,practices:cultural probes,cultural probes,I3,"Observation, cultural probes, sensitizing tools",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,practices,practices:sensitizing tools,sensitizing tools,I3,"Observation, cultural probes, sensitizing tools",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,practices,practices:journey mapping,Journey mapping,I4,"Journey mapping, user scenario analysis",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,practices,practices:user scenario analysis,user scenario analysis,I4,"Journey mapping, user scenario analysis",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,practices,practices:prototype for public feedback,Prototype for public feedback,I5,"Prototype for public feedback, iteration based on field insights",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,practices,practices:iteration based on field insights,iteration based on field insights,I5,"Prototype for public feedback, iteration based on field insights",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,methods,methods:living lab setup,Living lab setup,H2,Living lab setup; interdisciplinary team; curated public participation	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,methods,methods:interdisciplinary team,interdisciplinary team,H2,Living lab setup; interdisciplinary team; curated public participation	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,methods,methods:curated public participation,curated public participation,H2,Living lab setup; interdisciplinary team; curated public participation	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,methods,methods:direct/lateral observation,Direct/lateral observation,H3,"Direct/lateral observation, contextual inquiries, expert workshops	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,methods,methods:contextual inquiries,contextual inquiries,H3,"Direct/lateral observation, contextual inquiries, expert workshops	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,methods,methods:expert workshops,expert workshops,H3,"Direct/lateral observation, contextual inquiries, expert workshops	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,methods,methods:creative engagement model,Creative Engagement Model,H4,Creative Engagement Model; behavioral and conceptual change tracking	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,methods,methods:behavioral and conceptual change tracking,behavioral and conceptual change tracking,H4,Creative Engagement Model; behavioral and conceptual change tracking	,split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
C01,methods,methods:reflection-in-action documentation,Reflection-in-action documentation,H5,"Reflection-in-action documentation; criteria for “immediate, sustained, and creative” engagement	",split commas/semicolons/newlines outside parentheses; trim whitespace; case-insensitive key
